year,month,date,hour,tweet,pos or neg,logistic regression
2020,10,09,3,RT @NickForVA: Now more than ever we need leadership in Congress that will work to make it easier not harder to grow the economy and rec…,0.0,[[0.4982814]]
2020,10,09,0,Also they want to Raise Taxes Big and Obliterate your great Second Amendment!!! https://t.co/wTFeGHXkn1,1.0,[[0.51653102]]
2020,10,08,16,The Great Commonwealth of Pennsylvania would absolutely die without the jobs and dollars brought in by Fracking. Massive numbers! Now Biden &amp; Harris after Radical Left Dem Primaries are trying to change their stance. Pennsylvania wants Energy and Second Amendment!,1.0,[[0.51211347]]
2020,10,08,16,If a Republican LIED like Biden and Harris do constantly the Lamestream Media would be calling them out at a level never recorded before. For one year they called for No Fracking and big Tax Increases. Now they each say opposite. Fake News is working overtime!,1.0,[[0.51480484]]
2020,10,08,15,Biden will Shutdown the Economy at the tip of a hat raise your Taxes knock out your Second Amendment and Defund or close your Police. The Suburbs would be next get ready. Also and incredibly PACK THE UNITED STATES SUPREME COURT. This is not what the USA wants!!!  #MAGA,0.0,[[0.4953803]]
2020,10,08,11,Will be interviewed by @MariaBartiromo at 8:00 A.M.  @FoxBusiness  Great Jobs Numbers &amp; Economy Plus!,1.0,[[0.5465737]]
2020,10,08,2,“Biden TAX PLAN would raise $4 TRILLION more than twice the hike proposed by Clinton in 2016” https://t.co/kF4NmToqh3,1.0,[[0.50616135]]
2020,10,07,23,My highly regarded Executive Order protected 525000 American jobs during the height of the Chinese Plague. Democrats want to have Open Borders!,0.0,[[0.48048182]]
2020,10,07,13,RT @hrenee80: Yeah yeah... I know that Hillary Clinton planned financed &amp; executed the Russia hoax to try to destroy the President we el…,1.0,[[0.50394959]]
2020,10,06,21,How does Biden lead in Pennsylvania Polls when he is against Fracking (JOBS!) 2nd Amendment and Religion? Fake Polls. I will win Pennsylvania!,1.0,[[0.50575152]]
2020,10,06,18,...@senatemajldr Mitch McConnell not to delay but to instead focus full time on approving my outstanding nominee to the United States Supreme Court Amy Coney Barrett. Our Economy is doing very well. The Stock Market is at record levels JOBS and unemployment...,1.0,[[0.50500279]]
2020,10,06,18,...also coming back in record numbers. We are leading the World in Economic Recovery and THE BEST IS YET TO COME!,1.0,[[0.504878]]
2020,10,06,16,The Fake News Media refuses to discuss how good the Economy and Stock Market including JOBS under the Trump Administration are doing. We will soon be in RECORD TERRITORY. All they want to discuss is COVID 19 where they won’t say it but we beat the Dems all day long also!!!,1.0,[[0.54971598]]
2020,10,05,20,STOCK MARKET UP BIG 466 Points!  28149. Great News for America. Jobs Jobs Jobs!,1.0,[[0.56465913]]
2020,10,05,10,BIGGEST TAX CUT EVER AND ANOTHER ONE COMING. VOTE!,0.0,[[0.49289555]]
2020,10,05,10,STOCK MARKET HIGHS. VOTE!,1.0,[[0.50146768]]
